timestamp,value,sensor
2025-12-08T19:02:55.303991+00:00,0.188343,simulated
2025-12-08T19:02:55.308991+00:00,-0.279316,simulated
2025-12-08T19:02:55.313991+00:00,-0.135943,simulated
2025-12-08T19:02:55.318991+00:00,0.074101,simulated
2025-12-08T19:02:55.323991+00:00,-0.203270,simulated
2025-12-08T19:02:55.328991+00:00,-0.014424,simulated
2025-12-08T19:02:55.333991+00:00,0.035839,simulated
2025-12-08T19:02:55.338991+00:00,-0.166220,simulated
2025-12-08T19:02:55.343991+00:00,-0.261807,simulated
2025-12-08T19:02:55.348991+00:00,0.038778,simulated
2025-12-08T19:02:55.353991+00:00,0.198650,simulated
2025-12-08T19:02:55.358991+00:00,-0.129396,simulated
2025-12-08T19:02:55.363991+00:00,-0.066734,simulated
2025-12-08T19:02:55.368991+00:00,0.329134,simulated
2025-12-08T19:02:55.373991+00:00,-0.111778,simulated
2025-12-08T19:02:55.378991+00:00,-0.102831,simulated
2025-12-08T19:02:55.383991+00:00,0.480824,simulated
2025-12-08T19:02:55.388991+00:00,-0.306217,simulated
2025-12-08T19:02:55.393991+00:00,0.159293,simulated
2025-12-08T19:02:55.398991+00:00,-0.400730,simulated
2025-12-08T19:02:55.403991+00:00,-0.119393,simulated
2025-12-08T19:02:55.408991+00:00,0.300736,simulated
2025-12-08T19:02:55.413991+00:00,0.244287,simulated
2025-12-08T19:02:55.418991+00:00,-0.180224,simulated
2025-12-08T19:02:55.423991+00:00,-0.090740,simulated
2025-12-08T19:02:55.428991+00:00,0.016047,simulated
2025-12-08T19:02:55.433991+00:00,-0.251621,simulated
2025-12-08T19:02:55.438991+00:00,0.110444,simulated
2025-12-08T19:02:55.443991+00:00,0.445515,simulated
2025-12-08T19:02:55.448991+00:00,-0.271048,simulated
2025-12-08T19:02:55.453991+00:00,-0.396307,simulated
2025-12-08T19:02:55.458991+00:00,0.057649,simulated
2025-12-08T19:02:55.463991+00:00,-0.023825,simulated
2025-12-08T19:02:55.468991+00:00,0.360866,simulated
2025-12-08T19:02:55.473991+00:00,-0.032072,simulated
2025-12-08T19:02:55.478991+00:00,-0.010132,simulated
2025-12-08T19:02:55.483991+00:00,-0.038175,simulated
2025-12-08T19:02:55.488991+00:00,-0.198121,simulated
2025-12-08T19:02:55.493991+00:00,0.134606,simulated
2025-12-08T19:02:55.498991+00:00,-0.264816,simulated
2025-12-08T19:02:55.503991+00:00,0.233298,simulated
2025-12-08T19:02:55.508991+00:00,0.001675,simulated
2025-12-08T19:02:55.513991+00:00,0.100726,simulated
2025-12-08T19:02:55.518991+00:00,-0.110553,simulated
2025-12-08T19:02:55.523991+00:00,-0.184039,simulated
2025-12-08T19:02:55.528991+00:00,0.360053,simulated
2025-12-08T19:02:55.533991+00:00,0.093710,simulated
2025-12-08T19:02:55.538991+00:00,0.241401,simulated
2025-12-08T19:02:55.543991+00:00,0.037425,simulated
2025-12-08T19:02:55.548991+00:00,0.522322,simulated
2025-12-08T19:02:55.553991+00:00,0.071500,simulated
2025-12-08T19:02:55.558991+00:00,-0.205961,simulated
2025-12-08T19:02:55.563991+00:00,0.153702,simulated
2025-12-08T19:02:55.568991+00:00,0.085060,simulated
2025-12-08T19:02:55.573991+00:00,-0.464230,simulated
2025-12-08T19:02:55.578991+00:00,-0.023181,simulated
2025-12-08T19:02:55.583991+00:00,0.196040,simulated
2025-12-08T19:02:55.588991+00:00,0.160233,simulated
2025-12-08T19:02:55.593991+00:00,-0.067887,simulated
2025-12-08T19:02:55.598991+00:00,-0.242525,simulated
2025-12-08T19:02:55.603991+00:00,0.098259,simulated
2025-12-08T19:02:55.608991+00:00,-0.229166,simulated
2025-12-08T19:02:55.613991+00:00,0.264936,simulated
2025-12-08T19:02:55.618991+00:00,-0.061254,simulated
2025-12-08T19:02:55.623991+00:00,-0.184964,simulated
2025-12-08T19:02:55.628991+00:00,-0.113533,simulated
2025-12-08T19:02:55.633991+00:00,-0.162178,simulated
2025-12-08T19:02:55.638991+00:00,-0.112143,simulated
2025-12-08T19:02:55.643991+00:00,-0.147277,simulated
2025-12-08T19:02:55.648991+00:00,-0.075802,simulated
2025-12-08T19:02:55.653991+00:00,0.047794,simulated
2025-12-08T19:02:55.658991+00:00,0.119378,simulated
2025-12-08T19:02:55.663991+00:00,-0.222049,simulated
2025-12-08T19:02:55.668991+00:00,-0.190308,simulated
2025-12-08T19:02:55.673991+00:00,-0.085831,simulated
2025-12-08T19:02:55.678991+00:00,0.012749,simulated
2025-12-08T19:02:55.683991+00:00,0.019546,simulated
2025-12-08T19:02:55.688991+00:00,-0.408796,simulated
2025-12-08T19:02:55.693991+00:00,0.340805,simulated
2025-12-08T19:02:55.698991+00:00,-0.178039,simulated
2025-12-08T19:02:55.703991+00:00,0.363398,simulated
2025-12-08T19:02:55.708991+00:00,-0.270451,simulated
2025-12-08T19:02:55.713991+00:00,-0.192834,simulated
2025-12-08T19:02:55.718991+00:00,-0.050287,simulated
2025-12-08T19:02:55.723991+00:00,-0.044535,simulated
2025-12-08T19:02:55.728991+00:00,-0.154316,simulated
2025-12-08T19:02:55.733991+00:00,0.146979,simulated
2025-12-08T19:02:55.738991+00:00,-0.360407,simulated
2025-12-08T19:02:55.743991+00:00,0.211012,simulated
2025-12-08T19:02:55.748991+00:00,-0.163595,simulated
